epoch,accuracy,loss,val_accuracy,val_loss
0,0.4774305522441864,1.521674633026123,0.765625,0.8872687220573425
1,0.7664930820465088,0.7869503498077393,0.8203125,0.7096615433692932
2,0.8585069179534912,0.5406585335731506,0.8515625,0.5615661144256592
3,0.9097222089767456,0.38052499294281006,0.8828125,0.5022859573364258
4,0.9444444179534912,0.29309922456741333,0.875,0.5184293985366821
5,0.9696180820465088,0.2145477682352066,0.90625,0.40570104122161865
6,0.9670138955116272,0.21608711779117584,0.90625,0.4508093595504761
7,0.9722222089767456,0.19926846027374268,0.90625,0.3600612282752991
8,0.9791666865348816,0.15544892847537994,0.8828125,0.3959476351737976
9,0.984375,0.1472642868757248,0.90625,0.40034806728363037
10,0.9878472089767456,0.12973660230636597,0.921875,0.3698885142803192
11,0.9895833134651184,0.11595797538757324,0.8984375,0.3469167649745941
12,0.9869791865348816,0.10853099077939987,0.9140625,0.32719483971595764
13,0.9956597089767456,0.09727547317743301,0.9140625,0.34840792417526245
14,0.9895833134651184,0.09991171211004257,0.9375,0.24559171497821808
15,0.9973958134651184,0.07556920498609543,0.9375,0.2822608947753906
16,0.9982638955116272,0.06931406259536743,0.921875,0.27039623260498047
17,0.9991319179534912,0.06388083845376968,0.9296875,0.28813859820365906
18,0.9991319179534912,0.062426283955574036,0.8984375,0.3050156235694885
19,0.9869791865348816,0.09627025574445724,0.875,0.5625622868537903
20,0.9583333134651184,0.22110044956207275,0.8828125,0.40062713623046875
21,0.9366319179534912,0.2572580873966217,0.859375,0.4615466892719269
22,0.9800347089767456,0.14895324409008026,0.90625,0.3631259500980377
23,0.9973958134651184,0.07520869374275208,0.9296875,0.29008132219314575
24,0.9982638955116272,0.06814047694206238,0.9375,0.28077811002731323
25,0.9965277910232544,0.061159856617450714,0.9296875,0.27957141399383545
26,1.0,0.051650114357471466,0.9296875,0.26115691661834717
27,1.0,0.04910825192928314,0.9375,0.24423053860664368
28,1.0,0.04689584672451019,0.921875,0.25243932008743286
29,1.0,0.04484360292553902,0.9375,0.25109776854515076
